,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
1004,GERD,5,3,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0
1005,Psoriasis,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
1006,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1007,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
1008,Allergy,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
1011,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
1012,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
1013,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1014,Gastroenteritis,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,Urinary tract infection,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
1018,Common Cold,4,3,4,4,7,3,6,5,4,5,4,5,5,7,3,2,0
1019,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
1020,Hepatitis B,1,4,2,4,4,4,4,4,6,5,2,0,0,0,0,0,0
1021,Hyperthyroidism,4,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0,0
1022,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
1023,Malaria,3,5,3,3,5,6,2,0,0,0,0,0,0,0,0,0,0
1024,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
1025,Psoriasis,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
1026,Pneumonia,3,4,4,7,4,3,6,7,5,4,0,0,0,0,0,0,0
1027,Typhoid,3,5,4,7,5,4,4,6,5,4,0,0,0,0,0,0,0
1028,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
1029,Peptic ulcer diseae,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
1030,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
1031,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
1032,Pneumonia,3,4,4,7,4,6,5,7,5,4,0,0,0,0,0,0,0
1033,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
1034,Psoriasis,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
1035,GERD,5,3,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
1036,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
1037,Hepatitis B,1,4,2,3,4,4,4,4,6,5,2,0,0,0,0,0,0
1038,Cervical spondylosis,3,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,Hypoglycemia,5,4,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0
1040,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
1041,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
1042,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,Varicose veins,4,4,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0
1044,Pneumonia,3,4,4,7,4,3,6,7,5,4,0,0,0,0,0,0,0
1045,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0
1046,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
1048,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
1049,Migraine,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0
1050,Urinary tract infection,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,Hepatitis D,3,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0
1052,Hepatitis C,4,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1053,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1054,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
1055,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
1056,Urinary tract infection,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,Hepatitis E,3,5,4,7,3,4,5,4,4,4,7,6,0,0,0,0,0
1058,Peptic ulcer diseae,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
1059,Varicose veins,4,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0
1060,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
1061,Migraine,3,5,3,5,4,4,3,3,0,0,0,0,0,0,0,0,0
1062,Pneumonia,3,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0,0
1063,hepatitis A,3,5,3,4,5,4,6,5,4,2,0,0,0,0,0,0,0
1064,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
1065,Impetigo,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1066,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
1067,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
1069,Peptic ulcer diseae,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
1070,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
1071,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1072,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
1073,Heart attack,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1074,Typhoid,3,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0,0
1075,Allergy,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
1077,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,Hypothyroidism,4,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0,0
1080,Acne,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
1082,Migraine,3,5,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0
1083,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
1084,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
1085,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1086,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
1087,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
1088,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
1089,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
1090,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
1091,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
1092,Chicken pox,1,3,2,7,3,4,5,6,6,3,0,0,0,0,0,0,0
1093,Allergy,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,Urinary tract infection,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
1097,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
1098,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
1099,Osteoarthristis,3,5,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0
1100,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,Arthritis,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
1103,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1105,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
1106,Acne,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,Allergy,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1108,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
1109,Heart attack,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,Peptic ulcer diseae,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
1111,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
1112,Psoriasis,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
1113,Diabetes,4,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0,0
1114,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1115,Tuberculosis,3,5,4,3,4,4,3,4,5,4,6,6,5,7,5,0,0
1116,Bronchial Asthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
1117,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
1118,Chicken pox,1,3,4,2,3,4,5,6,6,3,0,0,0,0,0,0,0
1119,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
1121,Hypothyroidism,4,3,5,2,4,5,6,5,5,3,2,6,0,0,0,0,0
1122,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0
1123,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
1124,Gastroenteritis,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
1126,Varicose veins,4,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0
1127,Acne,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,Hypoglycemia,5,4,4,3,3,5,4,4,4,2,4,0,0,0,0,0,0
1129,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
1130,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
1131,AIDS,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1132,Urinary tract infection,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1133,Hepatitis B,1,4,2,3,4,4,4,4,6,5,2,0,0,0,0,0,0
1134,Urinary tract infection,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1136,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
1137,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
1138,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
1139,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0
1140,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1141,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
1142,Hepatitis D,3,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0,0
1143,Bronchial Asthma,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
1144,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
1145,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
1146,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
1147,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
1148,Hepatitis E,3,5,4,7,3,4,4,4,4,6,7,6,0,0,0,0,0
1149,Hepatitis E,3,5,4,3,4,5,4,4,4,6,7,6,0,0,0,0,0
1150,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
1152,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
1153,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,Hypoglycemia,5,4,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0
1155,Impetigo,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
1157,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
1158,Hypothyroidism,4,3,3,2,4,5,6,5,5,3,2,6,0,0,0,0,0
1159,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,Migraine,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0
1161,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
1162,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
1163,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
1164,Diabetes,4,3,5,5,5,4,4,5,4,0,0,0,0,0,0,0,0
1165,Chronic cholestasis,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
1166,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
1167,Drug Reaction,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168,Psoriasis,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1169,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
1170,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
1171,Allergy,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
1173,Cervical spondylosis,3,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,Alcoholic hepatitis,5,3,4,7,4,6,0,0,0,0,0,0,0,0,0,0,0
1175,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
1176,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0
1177,Hypoglycemia,5,4,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0
1178,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,3,0,0,0,0
1179,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
1180,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
1181,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
1182,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1183,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
1184,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
1185,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
1186,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1187,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1188,Drug Reaction,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1189,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
1191,Paralysis (brain hemorrhage),3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1192,Hypoglycemia,5,4,4,3,3,5,5,4,4,2,4,0,0,0,0,0,0
1193,Varicose veins,4,4,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0
1194,Bronchial Asthma,4,4,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0
1195,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
1196,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1197,hepatitis A,3,5,3,4,5,4,4,5,4,2,0,0,0,0,0,0,0
1198,Heart attack,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
1200,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
1201,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,GERD,5,3,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0
1204,Dengue,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0,0
1205,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0
1206,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
1207,Urinary tract infection,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1208,Dimorphic hemmorhoids(piles),5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1209,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
1210,Common Cold,4,3,4,7,3,6,6,5,4,5,4,5,5,7,3,2,0
1211,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
1212,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
1213,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0
1214,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
1215,Malaria,3,5,7,3,5,6,2,0,0,0,0,0,0,0,0,0,0
1216,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
1217,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1218,Hepatitis B,1,4,2,4,4,4,4,4,6,5,2,0,0,0,0,0,0
1219,Hepatitis E,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0,0
1220,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
1221,Alcoholic hepatitis,5,3,4,7,4,5,0,0,0,0,0,0,0,0,0,0,0
1222,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1223,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
1224,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
1225,Paralysis (brain hemorrhage),5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1226,Hypoglycemia,5,4,4,3,3,5,5,4,4,2,4,0,0,0,0,0,0
1227,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
1228,Psoriasis,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
1229,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
1230,Hepatitis C,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
1231,Hepatitis B,1,4,2,3,4,4,4,4,6,5,2,0,0,0,0,0,0
1232,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1233,Osteoarthristis,3,5,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0
1234,Dengue,3,3,3,5,7,3,5,4,4,3,6,2,3,0,0,0,0
1235,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
1236,Bronchial Asthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
1237,Osteoarthristis,3,5,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0
1238,Hypertension,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1239,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
1240,Chronic cholestasis,1,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
1241,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
1242,Hypoglycemia,5,4,4,3,5,5,4,4,4,2,4,0,0,0,0,0,0
1243,Hypoglycemia,5,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0,0
1244,Varicose veins,4,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0
1245,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
1246,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
1247,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
1248,Acne,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1249,Varicose veins,4,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0
1250,Urinary tract infection,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1251,Hepatitis D,3,5,4,3,4,5,4,4,0,0,0,0,0,0,0,0,0
1252,Chronic cholestasis,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
1253,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
1254,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
1255,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
1256,Dengue,3,3,3,5,4,7,3,5,4,4,3,2,3,0,0,0,0
1257,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1258,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
1259,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
1260,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
1261,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
1262,Typhoid,3,5,4,7,3,5,4,6,5,4,0,0,0,0,0,0,0
1263,Alcoholic hepatitis,5,3,4,7,4,5,0,0,0,0,0,0,0,0,0,0,0
1264,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1265,Osteoarthristis,3,5,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0
1266,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
1267,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
1268,Dimorphic hemmorhoids(piles),4,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1269,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
1270,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1271,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
1272,Malaria,3,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0,0
1273,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
1274,Allergy,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1275,AIDS,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1276,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
1277,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
1278,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
1279,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
1280,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
1281,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
1282,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
1283,Hepatitis D,3,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0
1284,Arthritis,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1285,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
1286,Hyperthyroidism,4,3,3,3,6,5,4,2,2,6,0,0,0,0,0,0,0
1287,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
1288,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0
1289,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
1290,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1291,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
1292,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
1293,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1294,Hepatitis C,4,3,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
1295,Allergy,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0
1297,(vertigo) Paroymsal  Positional Vertigo,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1298,Hyperthyroidism,4,3,3,5,3,6,4,2,2,6,0,0,0,0,0,0,0
1299,Hepatitis E,3,5,4,7,3,5,4,4,4,6,7,6,0,0,0,0,0
1300,Diabetes,4,3,5,2,5,4,4,5,4,0,0,0,0,0,0,0,0
1301,Chicken pox,1,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0,0
1302,Varicose veins,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0,0
1303,Malaria,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0,0
1304,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
1305,Bronchial Asthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
1306,Typhoid,3,5,4,7,3,5,4,6,5,4,0,0,0,0,0,0,0
1307,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
1309,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
